somali,english,russian,known_percent,note,note_ru,source
"Haddaan la kala roonaan, roob ma da'o","Unless one of the debaters gives in, it will not rain [i.e. no headway will be made in the matter].","Пока один из спорщиков не уступит, дождь не пойдёт [т. е. дело не сдвинется с места].","88.89","","","hubsiimo"
"Kaadi-badane waa loo gogol badiyaa","One has to change many mats for the man who is incontinent.","Под страдающим недержанием мочи приходится часто менять циновку.","88.89","This means: One has to be patient with an unrestrained person.","Употребляется в значении: с несдержанным человеком, приходится быть особенно терпеливым.","hubsiimo"
"Nin aanad saacad ku baran sanad kuma baratid","If you fail to know someone in an hour, you will not know them in a year.","Кого не узнаешь за час, не узнаешь и за год.","88.89","","","hubsiimo"
"Abaal nin gala waa la arkay, nin gudase lama arag","Those who accept a favour are many [lit: have been seen], but those who pay back are none [lit: have not been seen].","Тех, кто принимает услугу, много [букв.: их видели], а тех, кто платит за неё, — совсем нет [букв.: их не видели].","86.67","","","hubsiimo"
"Beentaada hore runtaada danbay u baas baxdaa","Your previous lie damages your present truth.","Твоя прежняя ложь вредит твоей нынешней правде.","86.67","","","hubsiimo"
"Canjeelo siday u kala korreyso ayaa loo cunaa","As the pancakes are piled, so [i.e. in such sequence] they should be eaten.","Как лепёшки сложены, так [т. е. в такой последовательности] их и есть следует.","86.67","","","hubsiimo"
"Gari laba nin kama wada qosliso","A just sentence cannot make happy [lit: make laugh] both sides at once.","Справедливое решение суда не может обрадовать [букв.: рассмешить] обе стороны сразу.","86.67","","","hubsiimo"
"Haddaad dhimaneysid dhareerka waa layska duwaa","If you are dying, wipe off your saliva [i.e. try to die suitably].","Кода умираешь — утирай слюну [т. е. старайся умереть достойно].","86.67","","","hubsiimo"
"Nin aad dhashay kuma dhalin","He to whom you gave birth did not give birth to you [i.e. your child does not treat you in the same way as you treat him].","Тот, кого родил ты, тебя не рожал [т. е. твой ребёнок относится к тебе не так, как ты к нему].","86.67","","","hubsiimo"
"Nin dhintay kabihiisaa dhaama","The sandals of a dead man are more valuable than he is [there is no benefit from a dead man].","Сандалии мертвеца лучше его самого [так как от мертвеца нет никакой пользы].","86.67","","","hubsiimo"
"Nin is faanshay waa ri' is nuugtay","He who praises himself is like a she-goat which suckles herself.","Тот, кто сам себя хвалит, похож на козу, которая сама себя сосёт.","86.67","","","hubsiimo"
"‘Waan baahan ahay’ bakhtiga looma cuno","Do not eat carrion even if you are (very) hungry [i.e. do not bring shame upon yourself under any circumstances].","Не ешь падаль, даже если (очень) голоден [т. е. не срамись ни при каких обстоятельствах].","86.67","","","hubsiimo"
"Waayeel ‘tag’ lama yidhaahdo ee wuxuu ku tagaa la tusaa","A grown man should not be told to go away, but should be shown the best way to do it [in order to leave with dignity].","Взрослому человеку не говорят „уходи!“, а показывают, как удобнее всего уйти [чтобы он мог уйти с достоинством].","86.67","","","hubsiimo"
"Wax badso wax beel bay leedahay","If you want to get more, you will lose everything.","Захочешь получить лишнее — потеряешь всё.","86.67","","","hubsiimo"
"Abkay doolli dilow, dad nool maas u daahaa?","My father has killed a mouse, will he fail to kill a man [lit: people]?","Мой отец убил мышь, —  так неужели он человека [букв.: людей] убить не сможет?","84.45","Said about a coward who pretends to be brave.","Говорится о трусе, который прикидывается храбрецом.","hubsiimo"
"Bidaari sibiq bay kugu gashaa","A bald spot reveals itself unexpectedly.","Лысина появляется, когда её не ждёшь.","84.45","Said about an unexpected trouble.","Говорится о неожиданной неприятности.","hubsiimo"
"Doqoneey, dabkaa ba'!","Oh fool, your fire is too hot!","О, дурак, твой огонь слишком жжёт!","84.45","Said when a silly person offers his help: one cannot even ask him to kindle a fire - he will burn everything around him.","Говорят, когда глупый человек предлагает свою помощь: его даже нельзя попросить высечь огонь —  он всё вокруг спалит.","hubsiimo"
"Doqoni calaf ma leh","A fool has no luck.","Дураку не везёт.","84.45","","","hubsiimo"
"Gaal dil, gartiisana sii","You may kill an infidel [if he deserves it] but be just to him [i.e. be just even to your enemy].","Неверного можешь убить [если он того заслуживает], но будь к нему справедлив [т. е. относись справедливо даже к своему врагу].","84.45","","","hubsiimo"
"Hadal haan ma buuxsho","Many words cannot fill a pitcher.","Многословием кувшина не наполнишь.","84.45","","","hubsiimo"
"Laba qaawani isma qaaddo","One naked man cannot carry another naked man [i.e. one poor man cannot help another poor man].","Голый голого не унесёт [т. е.  бедный бедному помочь не может].","84.45","","","hubsiimo"
"Lamahuraan waa cawska jiilaal","In the rainless season dry grass is (rich) fodder.","Когда нет дождя, даже сухая трава —  корм.","84.45","","","hubsiimo"
"Nin kuu digay kuma dilin","He who warned you, saved you [lit: did not kill you].","Кто тебя предупредил, тот тебя спас [букв.: тот тебя не убил].","84.45","","","hubsiimo"
"Ninkii seexdaa sicii dibi dhal","The sleeping herdsman's cow calves a he-calf.","Спящему (пастуху) корова телёнка [а не тёлку] приносит.","84.45","This goes back to a story about two herdsmen, whose cows calved at the same time, one giving birth to a he-calf, the other to a she-calf. While the owner of the cow which had calved a she-calf was asleep, his companion substituted it for his he-calf. Somalis consider that a she-calf is better than a he-calf, since when it grows it will give milk and have calves.","Изречение восходит к сказке о двух пастухах, коровы которых отелились одновременно: одна телёнком, а другая тёлкой. Воспользовавшись тем, что хозяин коровы, принёсшей тёлку, спал, его товарищ подменил её своим телёнком. Сомалийцы считают, что бычок (телок) хуже тёлки, которая, когда вырастет, будет давать молоко и приносить телят.","hubsiimo"
"Salaad walba waqtigeedaa la tukadaa","Every prayer should be offered at its proper time.","Каждой молитве — своё время.","84.45","","","hubsiimo"
"Timir laf baa ku jirta","There is a stone in every date [i.e. something bad in every good thing].","В каждом финике есть косточка [т. е.  в каждой хорошей вещи есть плохая часть].","84.45","It may also mean that there is a hidden sense in everything.","Иногда употребляется в значении: Во всём есть скрытый смысл.","hubsiimo"
"Waano abuuris baa ka horreysay","The character (of a man) was formed before the arguments [and therefore no form of persuasion can change it].","Характер (человека) сложился до уговоров [и никакими уговорами его нельзя изменить].","84.45","","","hubsiimo"
"Cagtii joogsan weyda mar bay ceeb la kulantaa","The restless foot is bound to step in something.","Беспокойная нога во что-нибудь да вляпается.","82.23","","","hubsiimo"
"Dab munaafaq shiday mu’min baa ku gubta","A fire lit by a sinful man burns a sinless man.","В огне, который зажигает грешник, сгорает праведник.","82.23","","","hubsiimo"
"Dantaada maqaar ey baa loogu seexdaa","In striving for gains you will sit even on a dog skin.","Ради собственной выгоды и на собачью шкуру сядешь.","82.23","According to Muslim ideas a dog is a dirty animal, so after having touched one, the ‘defiled’ spot needs repeated ablutions.","По представлениям мусульман, собака является нечистым животным; поэтому после прикосновения к ней ""осквернённое"" место нуждается в многократном омовении.","hubsiimo"
"Kud ka guur oo qanjo u guur","He drove the cattle from plague to glanders [i.e. he escaped one disaster, but got into another].","Увёл (скот) от язвы, а пригнал к сапу [т. е. избежал одной беды, но попал в другую].","82.23","","","hubsiimo"
"Mas madaxaa laga dilaa","A snake must be killed by a blow to its head [i.e. in order to defeat the enemy, you need to strike at the most vulnerable place].","Змею убивают ударом по голове [т. е. чтобы одолеть врага, нужно нанести удар в его самое уязвимое место].","82.23","","","hubsiimo"
"Nin aan shaqaysan shaahi waa ka xaaraan","For he who does not work (even) tea is impure [i.e. he does not even have the right to a cup of tea].","Кто не работает, для того и чай —  скоромное [т. е. он не имеет права даже на чашку чая].","82.23","","","hubsiimo"
"Nin daad qaaday xunbo cuskay","A man caught by a flood clings to the foam.","Попавший в поток хватается за пену.","82.23","","","hubsiimo"
"Nin lagu seexdow, ha seexan","The man who guards the sleep of others should not sleep.","Кто стережёт сон других, тот сам спать не должен.","82.23","","","hubsiimo"
"Ninkii ‘soo joog’ laga waayo ‘soo jiifso’ ayaa laga helaa","He who does not hear the word ‘stop!’ will hear the words ‘lie down!’ [i.e. he who does not listen to warnings will get into trouble].","Тот, кто не слышит слова „стой!“, услышит слово „ложись!“ [т. е.  тот, кто не внимает предупреждению об опасности, попадёт в беду].","82.23","","","hubsiimo"
"Oodi qaadis iyo jiidis waa isla guri geyn","It makes no difference if you carry or drag branches [to make a fence] —  they will get to the same yard [lit.: house].","Что нести ветки, что волочить [для сооружения изгороди] —  всё в один и тот же двор [букв.: дом].","82.23","","","hubsiimo"
"Timirtii horaba dab loo waa","There is not yet a fire for the first dates!","Ещё и для первых фиников огня нет!","82.23","This means: Until one job is completed, one should not start another one. This goes back to a story about a man given some dates, and not knowing that dates are eaten uncooked decided to fry them. Before he had time to kindle the firewood he had been given another handful of dates, and pronounced these words which became a proverb.","Употребляется в значении: не окончив одно дело, за другое браться не следует. Изречение восходит к сказке о человеке, которого угостили финиками. Он не знал, что финики едят в сыром виде, и решил их изжарить. Но не успел он разжечь огонь, как ему дали ещё горсть фиников. Тогда он и произнёс слова, ставшие пословицей.","hubsiimo"
"Wax la qariyo qurun baa ku jira","In what one hides (from people) there is always something bad [lit: a piece of shit].","В том, что скрывают (от людей), всегда есть что-то плохое [букв.: кусок дерьма].","82.23","","","hubsiimo"
"‘Aabbahay baa xoolo lahaan jiray’ ‘anigaa dameer leh’ ayaa ka roon","‘I have a donkey’ is better than ‘My father used to have cattle’.","Лучше „У меня есть осёл“, чем „У моего отца было много скота“.","80.03","","","hubsiimo"
"Awrba awrka ka horreeya ayuu saanqaadkiisa leeyahay","A camel (in a caravan) follows the tracks of the leading camel.","Верблюд (в караване) идёт след в след с предыдущим.","80.03","","","hubsiimo"
"Biyo intaysan ku soo gaarin ayaa layska moosaa","Protect yourself from the water before it overflows [i.e. trouble should be prevented in advance].","Отгородись от воды, пока она не разлилась [т. е. беду следует предотвращать заранее].","80.03","","","hubsiimo"
"Damiin faro waaweyn baa wax loogu qoraa","For a muddle-headed pupil everything should be written in capital letters [i.e. everything has to be explained particularly clearly to someone who is slow to understand].","Бестолковому ученику всё пишут крупными буквами [т. е. тому, кто плохо понимает, приходится всё разъяснять особенно подробно].","80.03","","","hubsiimo"
"Far keliya fool ma dhaqdo","One finger cannot wash a face.","Одним пальцем не умоешься.","80.03","","","hubsiimo"
"Laga barayba laga badi","One surpasses the person from whom one has learned.","У кого научился, того превзошёл.","80.03","","","hubsiimo"
"Mukulaal mininkeeda joogtaa miciyo libaax bay leedahay","A cat in its own house has lion's fangs.","В своём доме у кошки клыки львиные.","80.03","","","hubsiimo"
"Naag nin dhali karaa dhaqa","A woman may be managed only by a man who is old enough to be her father [i.e. a husband should be considerably older than his wife].","С женщиной управится лишь тот, кто ей годится в отцы [т. е. муж должен быть значительно старше жены].","80.03","","","hubsiimo"
"Naagi nin ay taqaan nin ma mooddo","A woman does not think of a man whom she knows well, as a man.","Женщина не считает мужчиной того, кого хорошо знает.","80.03","","","hubsiimo"
"Naago ama u samir, ama ka samir","Either suffer without women or suffer with them.","Либо терпи без женщин, либо терпи от них.","80.03","","","hubsiimo"
"Naago yaraan ma leh","A woman is never too small.","Женщина слишком маленькой не бывает.","80.03","","","hubsiimo"
"Nin walba kitaab qummane ah ayaa qoorta ugu jira","It is written on the face [lit: neck] of everyone that he thinks himself good.","По лицу [букв.: по шее] каждого человека видно, что он считает себя хорошим.","80.03","","","hubsiimo"
"Soomaalidu been waa sheegtaa, beense ma maahmaahdo","Somalis can lie, but their lie will never become a proverb.","Сомалиец может соврать, но враньё никогда не станет пословицей.","80.03","","","hubsiimo"
"Wax is weyddiini ma xuma ee wax is weydaarsi baa xun","It is not bad to ask each other for something, but it is bad to dodge each other.","Не дурно друг у друга просить — дурно друг с другом лукавить.","80.03","","","hubsiimo"
"Ama waa la muuqdaa, ama waa la maqnaadaa","Either be visible or be absent [i.e. either do a job well or do not set about it at all].","Либо будь на виду, либо не показывайся [т. е.  либо делай дело хорошо, либо не берись за него вовсе].","77.81","","","hubsiimo"
"Belaayo kaa sii jeedda layskuma soo jeediyo","If trouble turns its back on you, don’t make it turn to face you.","Если беда от тебя отвернулась, не заставляй её повернуться к тебе.","77.81","","","hubsiimo"
"Biyo sacabbadaada ayaa looga dhergaa","One drinks enough water only from one’s own hands [lit.: palms].","Вдоволь напьёшься только из своих рук [букв.: ладоней].","77.81","","","hubsiimo"
"Cimri tegay ceeb laguma sagootiyo","An old man should not disgrace himself [lit.: one should not see off one’s old age in disgrace].","Старому человеку позориться не пристало [букв.: свою старость провожать позором не следует].","77.81","","","hubsiimo"
"Cimrigaagoo dheeraadaa geel dhalayuu ku tusaa","If you live long you will see how the camels are born.","Поживёшь подольше — увидишь, как верблюды рожают.","77.81","This is a city proverb; the calving of camels is a normal thing for cattle breeders.","Городская пословица: для скотоводов рождение верблюжат — дело обычное.","hubsiimo"
"Dani xishood ma leh","Where there is gain, there is no shame.","Где есть нажива, там нет стыда.","77.81","","","hubsiimo"
"Geel laba jir soo wada mar","All camels were once two years old [i.e. everyone was young once].","Все верблюды когда-то были двухлетками [т. е. когда-то все были молодыми].","77.81","","","hubsiimo"
"Hadal nin si u yiri, ninna si u qaaday","You tell him one thing, but he hears another.","Ты говоришь одно, а он слышит другое.","77.81","","","hubsiimo"
"Ilko wadajir bay wax ku gooyaan","Teeth bite only when they bite together.","Зубы кусают только вместе.","77.81","","","hubsiimo"
"Meel ‘hoo’ u baahan hadal wax kama taro","One should not talk where one should give something [i.e. one should help].","Там, где надо дать [т. е. помочь], разговаривать не следует.","77.81","","","hubsiimo"
"Nin aad taqaan ‘yaad tahay?’ lama yiraahdo","One does not ask ‘Who are you?’ of a man one knows [i.e. it is senseless to ask about something you know].","У знакомого не спрашивают: „Кто ты такой?“ [т. е. о том, что уже знаешь, спрашивать не имеет смысла].","77.81","","","hubsiimo"
"Nin iyo naagtii colna ma aha, nabadna ma aha","A husband and wife are neither at war nor at peace.","Муж с женой и не воюют, и не мирятся.","77.81","","","hubsiimo"
"Quud aan jirin qoryo u guro","There is nothing to cook yet, but he is already gathering brushwood!","Ещё варить нечего, а он уже хворост собирает!","77.81","","","hubsiimo"
"Shimbiri mar bay dab qaadday, markiina buulkii hooyadeed bay gubtay","Only once did a bird carry fire, and even then it burned its mother’s nest.","Только раз птица огонь взяла, да и то сожгла гнездо своей матери.","77.81","Said of someone who takes on a task they know nothing about and ends up causing harm.","Говорят о том, кто берётся за незнакомое ему дело и в результате причиняет вред.","hubsiimo"
"Ama talo keen ahow, ama talo raac ahow","Either propose something yourself or agree to what is proposed by others.","Либо предлагай сам, либо соглашайся с тем, что предлагают другие.","75.59","","","hubsiimo"
"Baadiyi nin aan lahayn bay ag joogtaa","Lost cattle end up with someone who has no need of them [i.e. sometimes something needed by one person ends up with someone who has no need of it].","Пропавшая скотина оказывается у того, кому она не нужна [т. е. порой нужная вещь оказывается не у того, кто в ней нуждается, а у того, кому она ни к чему].","75.59","","","hubsiimo"
"Baqtiga ma cunee fuudkiisaan cabbaa","I eat not carrion, but soup made from carrion.","Я ем не падаль, а суп из падали.","75.59","Said of a hypocrite.","Говорят о ханже.","hubsiimo"
"Biyo meel godan bay isugu tagaan","Water flows to a low place.","Вода собирается там, где низко.","75.59","","","hubsiimo"
"Farta iyo meesha buktaa is og","The finger knows where you ache [i.e. it always touches the sore spot].","Палец знает, где у тебя болит [т. е. он всегда касается больного места].","75.59","","","hubsiimo"
"Nin xil qaaday eed qaad","The man who does something is the one to scold.","Кто дело делает, того и бранят.","75.59","","","hubsiimo"
"Ninkii tiisa daryeelaa tu kale ku dara","Only he who can manage his own affairs can manage those of others [i.e. can help others].","Лишь тот, кто справляется со своими делами, может справиться и с чужими [т. е. может помочь другим].","75.59","","","hubsiimo"
"Tuug intaadan ‘tuug’ dhihin buu ‘tuug’ ku dhahaa","Before you have time to tell a thief that he is a thief, he calls you a thief.","Прежде чем ты назовёшь вора вором, он успеет назвать вором тебя.","75.59","","","hubsiimo"
"Waari mayside war ha kaa haro","You will not remain (on earth) — let a good memory of you remain.","Ты сам не останешься (на земле) — пусть останется о тебе добрая память.","75.59","","","hubsiimo"
"Dameeri dhaan raacday","The camels went for water and a donkey skipped with them.","Верблюды отправились по воду —  и осёл с ними.","73.37","Said of a man who volunteers to help others when his help is not needed.","Говорят о человеке, который без надобности вызывается помогать другим.","hubsiimo"
"Doofaar ficilla'aan baa loo cadaabaa","A swine is cursed only because it is a swine.","Свинью ругают лишь за то, что она свинья.","73.37","Said when somebody is treated badly without any reason.","Говорят, когда к кому-либо плохо относятся без всяких на то оснований.","hubsiimo"
"Eebbe ma naxee waa naxariistaa","God does not spare (people), but cares for them [i.e. while causing people to suffer for their sins, he at the same time gives them everything they need].","Бог не щадит (людей), но заботится о них [т. е. посылая людям страдания за их грехи, он в то же время даёт им всё необходимое].","73.37","","","hubsiimo"
"Hadal intuu uurkaaga ku jiro ayuu ammaan yahay","A word is yours while it is in your chest [lit.: stomach].","Пока слово у тебя в груди [букв.: в животе] —  оно твоё.","73.37","","","hubsiimo"
"Hadal waa mergi hadba meel u jiidma","A word is like sinew: it stretches in every direction [that is, what has been said can be interpreted in different ways].","Слово — что сухожилие: в какую сторону потянешь, в ту и растянется [т. е. сказанное может быть истолковано по-разному].","73.37","","","hubsiimo"
"Mar i dage Alle ha dago, mar labaad i dagase anaa is dagay","If somebody cheated you once he is a fool [because by the fraud he shook your faith in him], but if he cheated you twice you are a fool [because you believed him].","Если кто-то обманул тебя раз —  он глуп [потому что обманом подорвал доверие к себе], а если он обманул тебя дважды, то глуп ты [потому что поверил ему].","73.37","","","hubsiimo"
"Naag feedh qalloocan baa laga abuuray","Woman was created from a crooked rib.","Женщина создана из кривого ребра.","73.37","","","hubsiimo"
"Nin soori kaa qaadday waa nin seefi kaa qaadday","A glutton is like a dead man [lit.: like one struck down by a sword].","Обжора — что мертвец [букв.: что сражённый мечом].","73.37","","","hubsiimo"
"Tuug tuug ma xado","A thief does not steal from another thief.","Вор у вора не крадёт.","73.37","","","hubsiimo"
"Af daboolan waa dahab","A closed mouth is gold.","Закрытый рот — золото.","71.15","","","hubsiimo"
"Ayax teg, eelna reeb","The locust flew away but it left hardship.","Саранча улетела, да беду оставила.","71.15","","","hubsiimo"
"Colaadi yaryaraysi ma leh","Enmity is never small [because each enmity can bring disaster].","Вражда малой не бывает [так как любая вражда грозит бедой].","71.15","","","hubsiimo"
"Dheriga karka kulaylkaa ka keenay","A pot boils from the heat [i.e. if someone is angry, there is a reason for it].","Горшок кипит от жара [т. е. если человек сердится, значит, на то есть причина].","71.15","","","hubsiimo"
"Fallaadhi gilgilasho kaagama go'do","No matter how hard you shake yourself, the arrow will not come out of your body [i.e. if you have been found out, no excuses will help].","Как ни трясись, стрела из тела не вывалится [т.е. если тебя уличили, оправдания не помогут].","71.15","","","hubsiimo"
"Intaadan falin ka fiirso","Think before you do something.","Прежде чем cделать, подумай.","71.15","","","hubsiimo"
"Ishiisa-laga-arkaa ushiisa lagu tumaa","A coward [lit: a man whose cowardice is betrayed by his eyes] is beaten with his own stick.","Труса [букв.: человека, трусость которого выдают его глаза] бьют его же собственной палкой.","71.15","","","hubsiimo"
"La jiifiyaana bannaan, la joojiyaana bannaan","It is level at the rod standing upright and it is level at the rod lying flat.","И стоячему (жезлу) вровень, и лежачему (жезлу) вровень.","71.15","Said when someone appears to be using double standards. This goes back to a tale about the chief who had to decide two cases about the damage caused to the adjacent field by somebody else’s and by his own cows. He ordered that two heaps of corn, to reach the height of a rod, be poured out for the victim. On the first occasion the rod was standing upright, but on the second occasion he ordered that the rod be lain on the ground. The chief alleged that both his decisions were just, since each time the heap of corn was level at the height of the rod.","Употребляется в значении: в одной и той же ситуации человек ведёт себя по-разному: когда речь идёт о чужих интересах, он делает одно, а когда о своих —  другое. Изречение восходит к сказке о вожде, который по-разному решил дело о потраве соседского поля чужой и своей коровой. В первом случае он велел насыпать пострадавшему кучу зерна вровень стоячему жезлу, а во втором —  лежачему. При этом вождь утверждал, что его решения справедливы, так как и в первый, и во второй раз куча зерна равнялась высоте жезла.","hubsiimo"
"Maroodigu takarta saaran ma arkee kan kale tan saaran ayuu arkaa","An elephant does not see the gadfly which is sitting on it but sees the one sitting on another (elephant).","Слон не замечает овода, который сидит на нём, но видит того, что сидит на другом (слоне).","71.15","","","hubsiimo"
"Meel il laga la'yahay haddaad tagto, il baa layska ridaa","If you come to the one-eyed people's country, pull out your eye.","Если попал в страну одноглазых, вырви себе глаз.","71.15","","","hubsiimo"
"Nin aan kuu furi doonin yuu kuu rarin","He who is not going to unload (your camel) should not be the one to load (it).","Кто не собирается развьючивать (твоего верблюда), тот пусть (его) и не навьючивает.","71.15","","","hubsiimo"
"Nin bukaa boqol u talisay","A sick person has a hundred advisers.","У больного сто советчиков.","71.15","","","hubsiimo"
"Waraf iyo shimbiro war isuma hayaan","The sling feels no animosity towards the birds [i.e. it kills them not through animosity, but by the will of the hunter].","Праща не питает вражды к птицам [т. е. она убивает их не из вражды, а по воле охотника].","71.15","","","hubsiimo"
"Waxaan ku cuninba waa la cunaa","What does not eat you is eatable.","Что не ест тебя самого, то и съедобно.","71.15","","","hubsiimo"
"Bannaankiisa-mare maradiisa geed ma qabsato","The cloth of the man who skirts about a clearing will not be torn by a tree [i.e. a cautious person will avoid troubles].","Кто обходит лес стороной, тот не порвёт одежду о дерево [т. е. осторожный человек избежит неприятностей].","68.93","","","hubsiimo"
"Baqal fardo la daaqday faras bay is mooddaa","If a mule grazes with horses, it thinks that it is also a horse.","Если мул пасётся с лошадьми, то думает, что он тоже лошадь.","68.93","","","hubsiimo"
"Ciirtaa-dhamaa ceebtaa yaqaan","He who has drunk your sour milk [i.e. whom you have reared] knows how to offend you (deeply).","Как тебя обидеть (побольнее), знает тот, кто пил твоё кислое молоко [т. е. тот, кого ты вскормил].","68.93","","","hubsiimo"
"Dameeraha tan ugu foosha xun ayaa ugu haraanti kulul","An ugly she-ass kicks most angrily.","Уродливая ослица брыкается больше всех.","68.93","This means: ugly women are most capricious.","Употребляется в значении: некрасивые женщины особенно капризны.","hubsiimo"
"Doqonta usha agteeda ku dhufo, hadday garan weydana gogga u geli","Threaten a fool with a stick and if he misunderstands you beat him.","Погрози дураку палкой, а не поймёт — побей его.","68.93","","","hubsiimo"
"Dhegi meel dheer bay ku dhacdaa, dhagaxna meel dhow","A stone flies [lit: falls] near, a word —  far off.","Камень летит [букв.: падает] близко, а слово — далеко.","68.93","","","hubsiimo"
"Kuu-sheekeeye, kaa-sheekeeye ha la sheekeysan","Do not trust [lit: do not talk to] he who gossips with you about others and with others about you.","Не верь тому [букв.: не разговаривай с тем], кто сплетничает с тобой о других, а с другими — о тебе.","68.93","","","hubsiimo"
